effective_disposals,disposal_efficiency_percentage,clangers,free_kicks_for,free_kicks_against,one_percenters,bounces,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,intercepts,tackles_inside_fifty,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,intercept_marks,marks_on_lead,pressure_acts,rating_points,score_launches,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,prob_0,prob_1,prob_2,prob_3,expected_votes,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,predicted_votes
8,80,2,1,1,2,0,77,51,79,0,1,3,110,1,0,5,4,0,2,0,1,9,11.4,1,1,37,4,8,52,0,0,0,0,125,1,0,0,0,0,1,0,0,0,0.9996104836463928,2.3019197396934032e-4,1.4416973863262683e-4,1.5149857972573955e-5,5.639810251523159e-4,0,Sam Day,0,15722,5,Gold Coast,2020,0
10,53,3,0,2,1,0,90,75,82,0,2,4,503,2,0,7,7,1,3,1,1,12,6.8,1,1,3,8,6,44,0,0,0,0,143,1,0,0,0,0,0,0,0,1,0.998779833316803,8.685559150762856e-4,2.990479697473347e-4,5.250525282463059e-5,0.0016241676130448468,0,Adam Tomlinson,0,15708,4,Melbourne,2020,0
13,81,1,0,0,1,0,75,78,94,1,0,1,6,2,1,8,4,1,8,0,0,18,9.7,0,0,26,7,4,31,0,0,0,0,34,1,0,0,0,0,1,0,0,0,0.9983916878700256,0.0012796296505257487,2.933238574769348e-4,3.534675488481298e-5,0.0019723176301340573,0,Tom Atkins,0,15849,17,Geelong,2020,0
6,75,1,0,1,0,0,86,78,99,1,0,4,74,0,2,2,3,2,4,0,0,14,13.3,0,0,1,11,7,53,0,0,0,0,49,0,1,0,0,0,0,0,1,0,0.9869197010993958,0.012381655164062977,5.796433542855084e-4,1.1904125130968168e-4,0.013898065626563039,0,Oscar McInerney,0,15810,12,Brisbane Lions,2020,0
8,57,6,1,0,1,0,91,61,66,2,1,2,144,1,0,3,3,2,8,0,0,8,9.2,0,0,17,8,12,80,0,0,0,0,173,0,1,0,1,0,0,0,0,0,0.9975605010986328,8.301417110487819e-4,5.702521302737296e-4,0.0010391507530584931,0.00508809823077172,0,Jake Melksham,0,15746,6,Melbourne,2020,0
14,88,5,1,5,0,0,83,49,75,1,1,5,106,2,1,8,4,0,5,0,0,12,7.4,0,0,7,10,9,64,0,0,0,1,109,0,1,1,0,0,0,0,0,0,0.9968840479850769,0.0014706591609865427,4.870608972851187e-4,0.0011581489816308022,0.0059192279004491866,0,Patrick Cripps,0,15762,8,Carlton,2020,0
4,80,2,3,2,2,0,53,29,55,0,2,1,120,1,0,3,3,0,1,0,0,5,4.1,0,2,7,11,7,53,0,0,0,0,15,1,0,0,1,0,0,0,0,0,0.9998724460601807,1.0431798727950081e-4,9.394681910634972e-6,1.3862741980119608e-5,1.6469557704112958e-4,0,Keegan Brooksby,0,15763,8,Hawthorn,2020,0
14,64,3,1,0,1,0,81,122,133,2,2,2,321,0,0,17,8,2,6,0,0,33,11.2,0,1,28,7,5,37,0,0,3,0,121,1,0,1,0,0,0,0,0,0,0.09082304686307907,0.3804612159729004,0.5061378479003906,0.022577879950404167,1.4604705516248941,2,Matt Crouch,0,15822,13,Adelaide,2020,2
3,50,4,1,3,1,0,70,31,35,0,2,3,130,0,1,6,1,0,3,0,0,17,-0.2,0,0,12,8,9,62,0,0,0,0,28,0,1,0,0,0,1,0,0,0,0.9998262524604797,5.3954012400936335e-5,2.300132837262936e-5,9.6830990514718e-5,3.9044964069034904e-4,0,Zac Langdon,0,15761,8,Greater Western Sydney,2020,0
2,33,0,0,0,0,0,82,25,33,0,0,1,125,0,2,0,2,0,2,0,0,8,5.5,0,0,12,1,10,61,0,0,0,0,144,0,1,0,1,0,0,0,0,0,0.9997616410255432,8.105014421744272e-5,4.475412060855888e-5,1.1253234697505832e-4,5.081554263597354e-4,0,Brandon Matera,0,15777,9,Fremantle,2020,0
