effective_disposals,disposal_efficiency_percentage,rebounds,clangers,free_kicks_for,free_kicks_against,one_percenters,bounces,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,marks_on_lead,pressure_acts,rating_points,score_launches,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
9,45,2,4,1,1,0,0,86,75,85,2,0,4,372,5,0,1,1,0,0,15,6,1,6,0,24,11.8,0,0,53,12,6,48,0,0,0,0,62,1,0,1,0,0,0,0,0,0,-0.06699303537607193,Oliver Florent,0,15774,9,Sydney,2020,39,0
7,78,2,1,1,1,7,0,82,46,63,0,0,0,161,5,0,1,2,0,0,13,5,0,2,0,15,8.5,0,6,44,10,6,46,0,0,0,0,128,1,0,0,0,1,0,0,0,0,-0.013539828360080719,Jeremy McGovern,0,15652,2,West Coast,2020,38,0
10,91,3,0,0,0,4,1,83,47,74,0,0,2,399,2,0,1,1,0,0,4,10,0,1,0,7,6.4,1,3,21,15,13,93,0,0,0,0,16,0,1,0,0,1,0,0,0,0,-0.026249155402183533,Jarrod Lienert,0,15800,11,Port Adelaide,2020,38,0
10,63,0,4,2,1,0,0,62,67,78,1,2,6,43,2,1,0,0,0,0,5,2,0,7,0,15,5.8,1,0,20,8,12,80,0,0,0,0,65,0,1,1,0,0,0,0,0,0,0.0347580648958683,Jed Anderson,0,15654,2,North Melbourne,2020,16,0
14,67,4,2,0,0,0,0,85,95,108,1,4,5,223,3,1,0,0,1,0,11,7,3,8,0,22,14,2,0,53,10,12,82,0,0,3,0,89,0,1,0,0,0,0,0,0,1,0.6078307628631592,Lachie Weller,0,15664,3,Gold Coast,2020,4,0
13,57,2,7,2,1,0,0,61,74,63,2,1,1,111,7,0,0,0,0,0,6,3,0,10,0,11,4.3,0,0,12,1,10,61,0,0,0,0,61,0,1,0,0,1,0,0,0,0,0.15469203889369965,Connor Blakely,0,15777,9,Fremantle,2020,16,0
11,61,0,3,2,0,0,0,81,55,57,3,0,5,422,3,0,0,0,1,0,2,5,1,8,0,15,11.8,2,0,4,8,11,74,0,0,0,0,96,1,0,0,0,0,0,0,0,1,-0.030046770349144936,Lachie Weller,0,15784,10,Gold Coast,2020,40,0
12,86,4,2,3,0,3,0,98,77,136,1,6,3,240,0,0,0,2,1,1,7,6,0,4,0,11,18.8,2,2,2,8,8,56,0,0,4,0,235,0,1,0,0,0,0,0,1,0,0.4405246675014496,Todd Goldstein,0,15621,1,North Melbourne,2020,6,0
9,64,1,2,3,0,0,0,83,77,86,0,2,6,165,1,2,0,0,2,0,3,5,2,4,1,11,6,2,0,10,14,9,68,0,0,0,0,255,0,1,0,0,0,1,0,0,0,0.09129977226257324,Brad Ebert,0,15819,13,Port Adelaide,2020,16,0
7,88,0,1,1,1,2,0,79,26,72,0,0,4,170,4,1,0,0,1,0,3,4,1,4,1,17,13.3,1,0,17,8,12,80,0,0,0,0,4,0,1,0,0,0,0,0,0,1,-0.00837327167391777,Kysaiah Pickett,0,15746,6,Melbourne,2020,37,0
