kicks,kicks_prop,marks,marks_prop,handballs,handballs_prop,disposals,disposals_prop,effective_disposals,disposal_efficiency_percentage,goals,goals_prop,behinds,behinds_prop,tackles,tackles_prop,rebounds,inside_fifties,inside_fifties_prop,clearances,clearances_prop,clangers,free_kicks_for,free_kicks_against,contested_possessions,contested_possessions_prop,uncontested_possessions,uncontested_possessions_prop,contested_marks,contested_marks_prop,marks_inside_fifty,marks_inside_fifty_prop,one_percenters,bounces,goal_assists,goal_assists_prop,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers_prop,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,intercept_marks,marks_on_lead,pressure_acts,rating_points,score_launches,shots_at_goal,shots_at_goal_prop,spoils,margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
23,0.05609756097560976,7,0.04046242774566474,2,0.008620689655172414,25,0.03894080996884735,19,76,0,0,1,0.05555555555555555,2,0.017543859649122806,10,2,0.01904761904761905,0,0,2,1,0,4,0.015444015444015444,15,0.04087193460490463,0,0,0,0,1,0,0,0,82,104,127,0,0,5,641,0.015873015873015872,4,0,0,0,0,0,4,17,0,2,1,1,5,7.6,1,1,0.020833333333333332,0,44,16,13,94,1,1,5,0,236,0,1,0,0,1,0,0,0,0,1.2969038486480713,Daniel Rich,0,16025,15,Brisbane Lions,2021,3,1
11,0.023554603854389723,6,0.02702702702702703,8,0.023668639053254437,19,0.02360248447204969,15,79,2,0.08,2,0.11764705882352941,1,0.010752688172043012,1,4,0.037383177570093455,0,0,2,2,1,7,0.027777777777777776,13,0.023809523809523808,0,0,1,0.037037037037037035,0,1,0,0,83,84,88,0,0,4,356,0.023809523809523808,6,0,0,0,2,1,5,7,0,6,1,1,26,11.9,1,4,0.0784313725490196,0,-18,10,11,76,0,0,0,0,62,1,0,0,1,0,0,0,0,0,-0.015996454283595085,Jaidyn Stephenson,0,15941,8,North Melbourne,2021,34,0
10,0.024509803921568627,3,0.018292682926829267,8,0.024539877300613498,18,0.02452316076294278,10,56,1,0.07692307692307693,0,0,4,0.037383177570093455,2,5,0.05434782608695652,1,0.01818181818181818,4,0,1,5,0.01968503937007874,11,0.023454157782515993,0,0,1,0.047619047619047616,2,0,1,0.1,80,74,66,0,1,8,296,0.027972027972027972,4,0,0,0,0,0,12,4,0,5,0,0,25,12.1,2,2,0.047619047619047616,1,-4,15,6,51,0,0,0,0,126,1,0,1,0,0,0,0,0,0,0.0567878857254982,Kane Lambert,0,16077,20,Richmond,2021,20,0
11,0.025404157043879907,3,0.017857142857142856,13,0.041401273885350316,24,0.0321285140562249,19,79,2,0.09090909090909091,1,0.0625,4,0.03773584905660377,0,3,0.02727272727272727,1,0.016666666666666666,1,1,0,4,0.014652014652014652,18,0.03938730853391685,0,0,0,0,2,0,1,0.07142857142857142,85,98,103,0,1,10,264,0.023121387283236993,0,1,0,0,1,0,4,6,1,3,0,0,21,16.3,0,4,0.08163265306122448,1,-2,11,11,77,0,0,7,0,119,1,0,0,0,0,1,0,0,0,1.2469158172607422,Kane Lambert,0,15903,4,Richmond,2021,3,1
17,0.037444933920704845,6,0.046153846153846156,3,0.01048951048951049,20,0.02702702702702703,16,80,0,0,0,0,4,0.024844720496894408,3,3,0.02702702702702703,1,0.012195121951219513,4,2,3,7,0.02127659574468085,12,0.031578947368421054,0,0,0,0,0,0,0,0,79,84,78,0,1,4,345,0.023255813953488372,6,0,0,2,0,0,9,13,0,5,1,0,11,5.4,2,0,0,0,49,15,12,87,0,0,0,0,79,0,1,0,0,1,0,0,0,0,0.052170876413583755,Ryan Burton,0,15943,8,Port Adelaide,2021,19,0
15,0.03694581280788178,4,0.023121387283236993,6,0.019867549668874173,21,0.029661016949152543,18,86,0,0,0,0,5,0.04807692307692308,9,0,0,0,0,6,0,2,5,0.01818181818181818,9,0.02127659574468085,1,0.04,0,0,2,0,0,0,88,83,84,0,0,1,425,0.025477707006369428,7,0,0,1,0,0,7,12,0,4,2,0,7,2.3,1,0,0,1,-22,10,8,58,0,0,0,0,67,1,0,0,0,1,0,0,0,0,-0.06828704476356506,Luke Ryan,0,15877,1,Fremantle,2021,44,0
13,0.03044496487119438,4,0.021052631578947368,5,0.01893939393939394,18,0.02604920405209841,14,78,1,0.045454545454545456,0,0,4,0.03125,1,4,0.0425531914893617,5,0.07246376811594203,1,1,0,7,0.026515151515151516,12,0.02877697841726619,0,0,0,0,0,0,1,0.05263157894736842,86,84,94,3,2,3,272,0.023809523809523808,0,1,0,0,0,0,18,10,1,5,0,1,28,10.7,1,1,0.022222222222222223,0,5,6,12,78,0,0,0,0,47,0,1,1,0,0,0,0,0,0,0.046040866523981094,Josh Daicos,0,15999,12,Collingwood,2021,16,0
9,0.020316027088036117,8,0.037914691943127965,8,0.030418250950570342,17,0.024079320113314446,13,77,1,0.045454545454545456,3,0.15,1,0.010309278350515464,2,2,0.019230769230769232,2,0.03333333333333333,1,0,0,8,0.032388663967611336,11,0.024282560706401765,0,0,4,0.13793103448275862,3,0,0,0,77,80,95,0,2,9,261,0.015267175572519083,1,1,0,0,2,0,0,5,2,6,0,2,11,7.8,1,4,0.0784313725490196,1,10,11,12,83,0,0,0,0,9,0,1,0,0,0,1,0,0,0,0.05046756565570831,Matthew Owies,0,16033,15,Carlton,2021,17,0
3,0.007281553398058253,1,0.0049261083743842365,6,0.02,9,0.012640449438202247,7,78,0,0,0,0,2,0.021505376344086023,0,2,0.0196078431372549,0,0,0,1,0,5,0.0228310502283105,4,0.008281573498964804,0,0,1,0.041666666666666664,1,0,1,0.05555555555555555,70,33,57,0,0,7,78,0.01098901098901099,2,0,0,0,4,0,1,2,3,4,0,1,6,5.8,1,1,0.018867924528301886,0,18,14,13,92,0,0,0,0,10,0,1,0,1,0,0,0,0,0,-0.028874685987830162,Alec Waterman,0,16057,18,Essendon,2021,42,0
5,0.012254901960784314,3,0.01744186046511628,9,0.02425876010781671,14,0.01797175866495507,11,79,0,0,0,0,1,0.0078125,0,1,0.008547008547008548,0,0,4,1,1,6,0.021897810218978103,8,0.01642710472279261,1,0.043478260869565216,0,0,2,0,0,0,86,44,51,0,0,2,160,0.0196078431372549,8,0,1,2,0,0,7,3,0,4,2,0,9,7.6,1,0,0,2,-1,13,13,91,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0.0038953714538365602,Aaron Francis,0,15879,1,Essendon,2021,29,0
7,0.015384615384615385,1,0.004807692307692308,1,0.004,8,0.011347517730496455,3,38,0,0,0,0,4,0.0392156862745098,0,4,0.04081632653061224,1,0.012987012987012988,5,1,1,5,0.01953125,4,0.008988764044943821,0,0,0,0,3,0,0,0,65,42,40,1,0,2,153,0.027210884353741496,0,1,1,1,0,0,1,2,0,2,0,1,8,5.1,1,2,0.044444444444444446,2,10,10,10,70,0,0,0,0,9,0,1,0,1,0,0,0,0,0,-0.0024899712298065424,Tristan Xerri,0,16051,17,North Melbourne,2021,29,0
