season,match_round,footywire_player,player_team,AF,SC,player_name
2020,1,Todd Goldstein,North Melbourne,77,136,Todd Goldstein
2020,1,Robbie Tarrant,North Melbourne,40,66,Robbie Tarrant
2020,1,Luke McDonald,North Melbourne,39,54,Luke McDonald
2020,1,Curtis Taylor,North Melbourne,47,79,Curtis Taylor
2020,1,Jasper Pittard,North Melbourne,44,52,Jasper Pittard
2020,1,Aaron Hall,North Melbourne,42,54,Aaron Hall
2020,1,Ben Brown,North Melbourne,53,81,Ben Brown
2020,1,Tarryn Thomas,North Melbourne,55,86,Tarryn Thomas
2020,1,Cameron Zurhaar,North Melbourne,44,67,Cameron Zurhaar
2020,1,Nick Larkey,North Melbourne,33,53,Nick Larkey
2020,1,Thomas Murphy,North Melbourne,25,35,Tom Murphy
2020,1,Jack Ziebell,North Melbourne,22,19,Jack Ziebell
2020,1,Paul Ahern,North Melbourne,14,19,Paul Ahern
2020,1,Joshua Walker,North Melbourne,2,7,Josh Walker
2020,1,Daniel Hannebery,St Kilda,78,93,Dan Hannebery
2020,1,Sebastian Ross,St Kilda,63,84,Sebastian Ross
2020,1,Zak Jones,St Kilda,96,113,Zak Jones
2020,1,Jack Steele,St Kilda,82,128,Jack Steele
2020,1,Luke Dunstan,St Kilda,100,92,Luke Dunstan
2020,1,Jack Billings,St Kilda,87,120,Jack Billings
2020,1,Hunter Clark,St Kilda,52,84,Hunter Clark
2020,1,Jarryn Geary,St Kilda,49,88,Jarryn Geary
2020,1,Dean Kent,St Kilda,76,71,Dean Kent
2020,1,Ben Long,St Kilda,51,118,Ben Long
2020,1,Ben Paton,St Kilda,59,76,Ben Paton
2020,1,Patrick Ryder,St Kilda,68,79,Paddy Ryder
2020,1,Bradley Hill,St Kilda,42,58,Bradley Hill
2020,1,Jade Gresham,St Kilda,33,27,Jade Gresham
2020,1,Rowan Marshall,St Kilda,65,92,Rowan Marshall
2020,1,Callum Wilkie,St Kilda,39,79,Callum Wilkie
2020,1,Daniel Butler,St Kilda,59,69,Dan Butler
2020,1,Dylan Roberton,St Kilda,20,26,Dylan Roberton
2020,1,Tim Membrey,St Kilda,36,35,Tim Membrey
2020,1,Jack Lonie,St Kilda,32,38,Jack Lonie
2020,1,Max King,St Kilda,32,42,Max King
2020,1,Dougal Howard,St Kilda,22,70,Dougal Howard
2020,1,Tom Mitchell,Hawthorn,82,119,Tom Mitchell
2020,1,Liam Shiels,Hawthorn,97,127,Liam Shiels
2020,1,Jaeger O'Meara,Hawthorn,83,112,Jaeger O'Meara
2020,1,Chad Wingard,Hawthorn,100,131,Chad Wingard
2020,1,Isaac Smith,Hawthorn,85,119,Isaac Smith
2020,1,James Worpel,Hawthorn,81,93,James Worpel
2020,1,James Sicily,Hawthorn,62,70,James Sicily
2020,1,Jack Gunston,Hawthorn,59,73,Jack Gunston
2020,1,Tom Scully,Hawthorn,58,55,Tom Scully
2020,1,Oliver Hanrahan,Hawthorn,64,73,Oliver Hanrahan
2020,1,Luke Breust,Hawthorn,74,113,Luke Breust
2020,1,Ricky Henderson,Hawthorn,59,53,Ricky Henderson
2020,1,Sam Frost,Hawthorn,35,69,Sam Frost
2020,1,Shaun Burgoyne,Hawthorn,70,126,Shaun Burgoyne
2020,1,Harry Morrison,Hawthorn,42,45,Harry Morrison
2020,1,Ben McEvoy,Hawthorn,45,80,Ben McEvoy
2020,1,Jonathon Ceglar,Hawthorn,55,101,Jonathon Ceglar
2020,1,Paul Puopolo,Hawthorn,35,44,Paul Puopolo
2020,1,Tim O'Brien,Hawthorn,30,60,Tim O'Brien
2020,1,Jonathon Patton,Hawthorn,33,55,Jonathon Patton
2020,1,James Frawley,Hawthorn,32,40,James Frawley
2020,1,Benjamin Stratton,Hawthorn,21,22,Ben Stratton
2020,1,Lachie Neale,Brisbane Lions,108,157,Lachie Neale
2020,1,Mitch Robinson,Brisbane Lions,93,97,Mitch Robinson
2020,1,Jarryd Lyons,Brisbane Lions,98,115,Jarryd Lyons
2020,1,Hugh McCluggage,Brisbane Lions,60,85,Hugh McCluggage
2020,1,Daniel Rich,Brisbane Lions,60,87,Daniel Rich
2020,1,Harris Andrews,Brisbane Lions,62,103,Harris Andrews
2020,1,Eric Hipwood,Brisbane Lions,80,86,Eric Hipwood
2020,1,Noah Answerth,Brisbane Lions,59,57,Noah Answerth
2020,1,Dayne Zorko,Brisbane Lions,56,52,Dayne Zorko
2020,1,Jarrod Berry,Brisbane Lions,35,52,Jarrod Berry
2020,1,Alex Witherden,Brisbane Lions,57,41,Alex Witherden
2020,1,Zac Bailey,Brisbane Lions,51,65,Zac Bailey
2020,1,Lincoln McCarthy,Brisbane Lions,46,57,Lincoln McCarthy
2020,1,Stefan Martin,Brisbane Lions,51,58,Stefan Martin
2020,1,Charlie Cameron,Brisbane Lions,52,75,Charlie Cameron
2020,1,Cameron Rayner,Brisbane Lions,47,53,Cam Rayner
2020,1,Brandon Starcevich,Brisbane Lions,34,28,Brandon Starcevich
2020,1,Daniel McStay,Brisbane Lions,51,75,Daniel McStay
2020,1,Darcy Gardiner,Brisbane Lions,36,60,Darcy Gardiner
2020,1,Deven Robertson,Brisbane Lions,26,47,Deven Robertson
2020,1,Marcus Adams,Brisbane Lions,12,28,Marcus Adams
2020,1,Oscar McInerney,Brisbane Lions,30,39,Oscar McInerney
2020,1,Andrew Gaff,West Coast,107,119,Andrew Gaff
2020,1,Luke Shuey,West Coast,116,104,Luke Shuey
2020,1,Shannon Hurn,West Coast,94,152,Shannon Hurn
2020,1,Dominic Sheed,West Coast,93,128,Dom Sheed
2020,1,Liam Duggan,West Coast,83,76,Liam Duggan
2020,1,Tim Kelly,West Coast,81,86,Tim Kelly
2020,1,Lewis Jetta,West Coast,92,104,Lewis Jetta
2020,1,Bradley Sheppard,West Coast,69,94,Brad Sheppard
2020,1,Tom Barrass,West Coast,74,92,Tom Barrass
2020,1,Liam Ryan,West Coast,91,109,Liam Ryan
2020,1,Nicholas Naitanui,West Coast,53,100,Nic Naitanui
2020,1,Jarrod Brander,West Coast,61,59,Jarrod Brander
2020,1,Jamie Cripps,West Coast,58,69,Jamie Cripps
2020,1,Jeremy McGovern,West Coast,52,83,Jeremy McGovern
2020,1,Elliot Yeo,West Coast,49,57,Elliot Yeo
2020,1,Brendon Ah Chee,West Coast,59,92,Brendon Ah Chee
2020,1,Jackson Nelson,West Coast,58,64,Jackson Nelson
2020,1,Jack Redden,West Coast,39,36,Jack Redden
2020,1,Jack Darling,West Coast,44,68,Jack Darling
2020,1,Jack Petruccelle,West Coast,36,43,Jack Petruccelle
2020,1,Joshua Kennedy,West Coast,19,28,Josh J. Kennedy
2020,1,Tom Hickey,West Coast,11,26,Tom Hickey
2020,1,Jack Viney,Melbourne,132,186,Jack Viney
2020,1,Ed Langdon,Melbourne,102,120,Ed Langdon
2020,1,Christian Petracca,Melbourne,90,105,Christian Petracca
2020,1,Michael Hibberd,Melbourne,85,79,Michael Hibberd
2020,1,Clayton Oliver,Melbourne,74,99,Clayton Oliver
2020,1,James Harmes,Melbourne,56,77,James Harmes
2020,1,Angus Brayshaw,Melbourne,63,71,Angus Brayshaw
2020,1,Max Gawn,Melbourne,73,93,Max Gawn
2020,1,Adam Tomlinson,Melbourne,59,51,Adam Tomlinson
2020,1,Oscar McDonald,Melbourne,47,70,Oscar McDonald
2020,1,Jay Lockhart,Melbourne,42,84,Jay Lockhart
2020,1,Alex N-Bullen,Melbourne,55,60,Alex Neal-Bullen
2020,1,Kysaiah Pickett,Melbourne,44,57,Kysaiah Pickett
2020,1,Steven May,Melbourne,41,69,Steven May
2020,1,Jake Lever,Melbourne,32,53,Jake Lever
2020,1,Bayley Fritsch,Melbourne,42,39,Bayley Fritsch
2020,1,Mitchell Brown,Melbourne,30,21,Mitch Brown
2020,1,Jake Melksham,Melbourne,33,54,Jake Melksham
2020,1,Charlie Spargo,Melbourne,25,9,Charlie Spargo
2020,1,Toby Bedford,Melbourne,26,39,Toby Bedford
2020,1,Neville Jetta,Melbourne,27,35,Neville Jetta
2020,1,Tom McDonald,Melbourne,44,40,Tom McDonald
2020,2,Scott Pendlebury,Collingwood,100,115,Scott Pendlebury
2020,2,Steele Sidebottom,Collingwood,83,95,Steele Sidebottom
2020,2,Josh Daicos,Collingwood,80,126,Josh Daicos
2020,2,Brayden Maynard,Collingwood,76,105,Brayden Maynard
2020,2,Taylor Adams,Collingwood,100,131,Taylor Adams
2020,2,Jeremy Howe,Collingwood,79,126,Jeremy Howe
2020,2,Jack Crisp,Collingwood,82,108,Jack Crisp
2020,2,Tom Phillips,Collingwood,101,99,Tom Phillips
2020,2,Jordan De Goey,Collingwood,56,67,Jordan De Goey
2020,2,Christopher Mayne,Collingwood,56,85,Chris Mayne
2020,2,Brodie Grundy,Collingwood,82,115,Brodie Grundy
2020,2,John Noble,Collingwood,41,41,John Noble
2020,2,Callum Brown,Collingwood,39,74,Callum L. Brown
2020,2,Darcy Cameron,Collingwood,58,73,Darcy Cameron
2020,2,Darcy Moore,Collingwood,28,72,Darcy Moore
2020,2,Jack Madgen,Collingwood,47,55,Jack Madgen
2020,2,Brody Mihocek,Collingwood,29,40,Brody Mihocek
2020,2,Tyler Brown,Collingwood,22,43,Tyler Brown
2020,2,Will H-Elliott,Collingwood,22,37,Will Hoskin-Elliott
2020,2,Jordan Roughead,Collingwood,22,35,Jordan Roughead
2020,2,Josh Thomas,Collingwood,21,15,Josh Thomas
2020,2,Jamie Elliott,Collingwood,27,39,Jamie Elliott
2020,2,Bachar Houli,Richmond,100,111,Bachar Houli
2020,2,Trent Cotchin,Richmond,86,99,Trent Cotchin
2020,2,Dustin Martin,Richmond,73,79,Dustin Martin
2020,2,Dion Prestia,Richmond,75,72,Dion Prestia
2020,2,Kane Lambert,Richmond,57,58,Kane Lambert
2020,2,David Astbury,Richmond,72,95,David Astbury
2020,2,Jayden Short,Richmond,62,78,Jayden Short
2020,2,Jack Graham,Richmond,51,88,Jack Graham
2020,2,Shane Edwards,Richmond,51,69,Shane Edwards
2020,2,Nick Vlastuin,Richmond,60,100,Nick Vlastuin
