"","season","match_round","player_name","player_team","betfair_votes"
"447",2019,13,"Jacob Hopper","Greater Western Sydney","0.5"
"448",2019,14,"Dom Sheed","West Coast","2.5"
"449",2019,14,"Elliot Yeo","West Coast","2"
"450",2019,14,"Zach Merrett","Essendon","0.5"
"451",2019,14,"Jack Redden","West Coast","0.5"
"452",2019,14,"Josh J. Kennedy","West Coast","0.5"
"453",2019,14,"Luke Parker","Sydney","2.5"
"454",2019,14,"Zak Jones","St Kilda","1"
"455",2019,14,"Ricky Henderson","Hawthorn","1"
"456",2019,14,"Callum Mills","Sydney","1"
"457",2019,14,"Lance Franklin","Sydney","0.5"
"458",2019,14,"Tom McDonald","Melbourne","2"
"459",2019,14,"Max Gawn","Melbourne","1.5"
"460",2019,14,"Bradley Hill","Fremantle","1.5"
"461",2019,14,"Jack Viney","Melbourne","1"
"462",2019,14,"Dayne Zorko","Brisbane Lions","2.5"
"463",2019,14,"Charlie Cameron","Brisbane Lions","2"
"464",2019,14,"Jarryd Lyons","Brisbane Lions","1"
"465",2019,14,"Daniel Rich","Brisbane Lions","0.5"
"466",2019,14,"Scott Lycett","Port Adelaide","2.5"
"467",2019,14,"Robbie Gray","Port Adelaide","2"
"468",2019,14,"Travis Boak","Port Adelaide","1"
"469",2019,14,"Patrick Dangerfield","Geelong","0.5"
"470",2019,14,"Brodie Grundy","Collingwood","3"
"471",2019,14,"Jack Macrae","Western Bulldogs","1.5"
"472",2019,14,"Caleb Daniel","Western Bulldogs","1"
"473",2019,14,"Adam Treloar","Collingwood","0.5"
"474",2019,15,"Zach Merrett","Essendon","2"
"475",2019,15,"Shaun McKernan","Essendon","1.5"
"476",2019,15,"Stephen Coniglio","Greater Western Sydney","1.5"
"477",2019,15,"Zac Williams","Greater Western Sydney","0.5"
"478",2019,15,"Cale Hooker","Essendon","0.5"
"479",2019,15,"Tim Kelly","Geelong","2.5"
"480",2019,15,"Joel Selwood","Geelong","2"
"481",2019,15,"Paul Seedsman","Adelaide","1"
"482",2019,15,"Gryan Miers","Geelong","0.5"
"483",2019,15,"Jack Darling","West Coast","2.5"
"484",2019,15,"Luke Shuey","West Coast","2"
"485",2019,15,"Andrew Gaff","West Coast","1"
