"","date","match_id","match_round","player_name","player_team","player_opposition","betfair_votes","match_outcome","margin"
"8298",2021-08-14,16092,22,"Jordan De Goey","Collingwood","Brisbane Lions",0,"Loss",-85
"8299",2021-08-14,16092,22,"Nakia Cockatoo","Brisbane Lions","Collingwood",0,"Win",85
"8300",2021-08-14,16092,22,"Harris Andrews","Brisbane Lions","Collingwood",0,"Win",85
"8301",2021-08-14,16092,22,"Brayden Maynard","Collingwood","Brisbane Lions",0,"Loss",-85
"8302",2021-08-14,16092,22,"Callum Ah Chee","Brisbane Lions","Collingwood",0,"Win",85
"8303",2021-08-14,16092,22,"Jarrod Berry","Brisbane Lions","Collingwood",0,"Win",85
"8304",2021-08-14,16092,22,"Hugh McCluggage","Brisbane Lions","Collingwood",2,"Win",85
"8305",2021-08-14,16092,22,"Josh Daicos","Collingwood","Brisbane Lions",0,"Loss",-85
"8306",2021-08-14,16092,22,"Zac Bailey","Brisbane Lions","Collingwood",0,"Win",85
"8307",2021-08-14,16092,22,"Oscar McInerney","Brisbane Lions","Collingwood",0,"Win",85
"8308",2021-08-14,16092,22,"Brody Mihocek","Collingwood","Brisbane Lions",0,"Loss",-85
"8309",2021-08-14,16092,22,"Darcy Cameron","Collingwood","Brisbane Lions",0,"Loss",-85
"8310",2021-08-14,16092,22,"Brandon Starcevich","Brisbane Lions","Collingwood",0,"Win",85
"8311",2021-08-14,16092,22,"Jack Madgen","Collingwood","Brisbane Lions",0,"Loss",-85
"8312",2021-08-14,16092,22,"Nathan Murphy","Collingwood","Brisbane Lions",0,"Loss",-85
"8313",2021-08-14,16092,22,"John Noble","Collingwood","Brisbane Lions",0,"Loss",-85
"8314",2021-08-14,16092,22,"Trey Ruscoe","Collingwood","Brisbane Lions",0,"Loss",-85
"8315",2021-08-14,16092,22,"Tom Fullarton","Brisbane Lions","Collingwood",0,"Win",85
"8316",2021-08-14,16092,22,"Keidean Coleman","Brisbane Lions","Collingwood",0,"Win",85
"8317",2021-08-14,16092,22,"Oliver Henry","Collingwood","Brisbane Lions",0,"Loss",-85
"8318",2021-08-14,16092,22,"Jaxon Prior","Brisbane Lions","Collingwood",0,"Win",85
"8319",2021-08-14,16092,22,"Beau McCreery","Collingwood","Brisbane Lions",0,"Loss",-85
"8320",2021-08-14,16092,22,"Finlay Macrae","Collingwood","Brisbane Lions",0,"Loss",-85
"8321",2021-08-14,16092,22,"Trent Bianco","Collingwood","Brisbane Lions",0,"Loss",-85
"8322",2021-08-14,16092,22,"Jack Ginnivan","Collingwood","Brisbane Lions",0,"Loss",-85
"8323",2021-08-14,16093,22,"Josh P. Kennedy","Sydney","North Melbourne",0,"Win",14
"8324",2021-08-14,16093,22,"Todd Goldstein","North Melbourne","Sydney",0,"Loss",-14
"8325",2021-08-14,16093,22,"Jack Ziebell","North Melbourne","Sydney",0,"Loss",-14
"8326",2021-08-14,16093,22,"Robbie Tarrant","North Melbourne","Sydney",0,"Loss",-14
"8327",2021-08-14,16093,22,"Sam Reid","Sydney","North Melbourne",0,"Win",14
"8328",2021-08-14,16093,22,"Luke Parker","Sydney","North Melbourne",3,"Win",14
"8329",2021-08-14,16093,22,"Tom Hickey","Sydney","North Melbourne",0,"Win",14
"8330",2021-08-14,16093,22,"Harry Cunningham","Sydney","North Melbourne",0,"Win",14
"8331",2021-08-14,16093,22,"Aaron Hall","North Melbourne","Sydney",1,"Loss",-14
"8332",2021-08-14,16093,22,"Josh Walker","North Melbourne","Sydney",0,"Loss",-14
"8333",2021-08-14,16093,22,"Dane Rampe","Sydney","North Melbourne",0,"Win",14
"8334",2021-08-14,16093,22,"Jed Anderson","North Melbourne","Sydney",0,"Loss",-14
"8335",2021-08-14,16093,22,"Luke McDonald","North Melbourne","Sydney",0,"Loss",-14
"8336",2021-08-14,16093,22,"Kayne Turner","North Melbourne","Sydney",0,"Loss",-14
