player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Kane Farrell,Port Adelaide,1,0,6,0.19239237692090683,1
Liam Jones,Carlton,1,0,7,0.03189096454298124,1
Luke Dunstan,St Kilda,1,0,0,0.17568470537662506,1
Matt de Boer,Greater Western Sydney,1,0,0,0.0017178278067149222,1
Mitch Georgiades,Port Adelaide,1,0,2,0.20564675092464313,1
Mitch Robinson,Brisbane Lions,1,0,4,0.46264101145789027,1
Paddy Ryder,St Kilda,1,0,13,0.3724091454059817,1
Ryan Clarke,Sydney,1,0,1,0.31434127342072316,1
Tom Clurey,Port Adelaide,1,0,5,0.1390734551823698,1
Zac Williams,Greater Western Sydney,1,0,5,0.6579271230730228,1
Aaron Francis,Essendon,0,0,3,0.04129800930968486,0
Aaron vandenBerg,Melbourne,0,0,0,0.006768956751329824,0
Adam Kennedy,Greater Western Sydney,0,0,0,0.003285663027781993,0
Adam Tomlinson,Melbourne,0,0,0,0.37907069793436676,0
Aidan Corr,Greater Western Sydney,0,0,3,0.019998494011815637,0
Aiden Bonar,North Melbourne,0,0,0,-0.0072785193915478885,0
Alex Keath,Western Bulldogs,0,0,12,0.2438271473220084,0
Alex Neal-Bullen,Melbourne,0,0,0,0.014997133053839207,0
Aliir Aliir,Sydney,0,0,0,0.03355671654571779,0
Andrew McPherson,Adelaide,0,0,0,0.004091074748430401,0
Andrew Phillips,Essendon,0,0,0,0.09110610856441781,0
Archie Smith,Brisbane Lions,0,0,0,0.00529335203464143,0
Atu Bosenavulagi,Collingwood,0,0,0,-6.763256387785077e-4,0
Bailey Banfield,Fremantle,0,0,0,-0.05698521155864,0
Bailey Dale,Western Bulldogs,0,0,0,0.004289336153306067,0
Bailey J. Williams,West Coast,0,0,0,5.015189235564321e-4,0
Bailey Scott,North Melbourne,0,0,0,0.2673147352761589,0
Ben Brown,North Melbourne,0,0,0,0.027323852526023984,0
Ben Cavarra,Western Bulldogs,0,0,0,7.684449665248394e-4,0
Ben Crocker,Adelaide,0,0,0,-0.011701469891704619,0
Ben Davis,Adelaide,0,0,0,-8.431504247710109e-4,0
Ben Jarvis,Geelong,0,0,0,-6.418124539777637e-4,0
Ben McKay,North Melbourne,0,0,0,-0.12138772115577012,0
Ben Paton,St Kilda,0,0,2,-0.021227892371825874,0
Ben Reid,Collingwood,0,0,0,0.0017077132797567174,0
Ben Ronke,Sydney,0,0,0,-0.0029031460580881685,0
Ben Stratton,Hawthorn,0,0,3,0.07713428314309567,0
Billy Frampton,Adelaide,0,0,0,-0.00774695779546164,0
Billy Gowers,Western Bulldogs,0,0,0,0.002127668005414307,0
Blake Hardwick,Hawthorn,0,0,0,-0.046835189597913995,0
Bobby Hill,Greater Western Sydney,0,0,0,0.028973744483664632,0
Boyd Woodcock,Port Adelaide,0,0,0,-6.369642214849591e-4,0
Brad Close,Geelong,0,0,0,0.07539185466885101,0
Brandon Ellis,Gold Coast,0,0,6,0.4112540656933561,0
Brandon Matera,Fremantle,0,0,0,-0.004988361819414422,0
Brandon Starcevich,Brisbane Lions,0,0,5,0.05122183478670195,0
Brandon Zerk-Thatcher,Essendon,0,0,0,-0.020527667045826092,0
Brayden Ainsworth,West Coast,0,0,0,0.008367370537598617,0
Brayden Fiorini,Gold Coast,0,0,0,0.018158404098358005,0
Brayden Ham,Essendon,0,0,0,0.0770251943031326,0
Brayden Maynard,Collingwood,0,0,22,1.4027539086528122,0
Brayden Sier,Collingwood,0,0,2,0.33037598291411996,0
Braydon Preuss,Melbourne,0,0,0,-0.002755451947450638,0
Brendon Ah Chee,West Coast,0,0,0,0.029235547495773062,0
Brennan Cox,Fremantle,0,0,3,0.18877764241187833,0
Brett Bewley,Fremantle,0,0,0,0.020300220319768414,0
Cale Hooker,Essendon,0,0,3,0.2314522253582254,0
Caleb Graham,Gold Coast,0,0,0,0.006322652101516724,0
Callan Ward,Greater Western Sydney,0,0,0,0.13036720524542034,0
Callum Ah Chee,Brisbane Lions,0,0,0,0.1059958782279864,0
Callum L. Brown,Collingwood,0,0,0,-0.004438321513589472,0
Callum Moore,Carlton,0,0,0,-7.444890507031232e-4,0
Callum Porter,Western Bulldogs,0,0,0,0.0027301039081066847,0
Callum Sinclair,Sydney,0,0,1,0.1596044567413628,0
Callum Wilkie,St Kilda,0,0,1,0.27142319816630334,0
Cam McCarthy,Fremantle,0,0,0,-9.418994886800647e-5,0
Cam Sutcliffe,Port Adelaide,0,0,0,0.002324908913578838,0
Cameron Ellis-Yolmen,Brisbane Lions,0,0,0,0.057524954492691904,0
Cameron Polson,Carlton,0,0,0,-8.301923517137766e-4,0
Cameron Zurhaar,North Melbourne,0,0,3,0.26831364090321586,0
Chad Warner,Sydney,0,0,0,-0.0012836249079555273,0
Changkuoth Jiath,Hawthorn,0,0,0,-0.0029709470691159368,0
Charlie Ballard,Gold Coast,0,0,4,0.5010437752644066,0
Charlie Constable,Geelong,0,0,0,0.353764173516538,0
Charlie Spargo,Melbourne,0,0,2,0.02845076593803242,0
Chayce Jones,Adelaide,0,0,0,-7.266040483955294e-4,0
Chris Mayne,Collingwood,0,0,0,0.266622009803541,0
Christian Salem,Melbourne,0,0,3,0.5490338043891825,0
Cody Weightman,Western Bulldogs,0,0,0,0.003824401122983545,0
Colin O'Riordan,Sydney,0,0,0,0.0036614728451240808,0
Connor Ballenden,Brisbane Lions,0,0,0,-0.0017916830256581306,0
Connor Blakely,Fremantle,0,0,0,0.3640643123362679,0
Connor Budarick,Gold Coast,0,0,0,-0.02670592092908919,0
Connor Idun,Greater Western Sydney,0,0,0,-0.0022542037768289447,0
Conor Glass,Hawthorn,0,0,0,-0.0015061474405229092,0
Conor McKenna,Essendon,0,0,0,0.0069250575033947825,0
Conor Nash,Hawthorn,0,0,0,-0.0013594974298030138,0
Curtis Taylor,North Melbourne,0,0,0,0.19682172997272573,0
Damon Greaves,Hawthorn,0,0,2,0.11265181191265583,0
Dan Hannebery,St Kilda,0,0,1,0.13451614291989245,0
Daniel Howe,Hawthorn,0,0,0,-0.021891500568017364,0
Daniel Lloyd,Greater Western Sydney,0,0,0,0.009279613150283694,0
Daniel McStay,Brisbane Lions,0,0,3,0.3686343333683908,0
Daniel Rioli,Richmond,0,0,4,0.17164238047553226,0
Daniel Talia,Adelaide,0,0,0,0.01852538948878646,0
Darcy Fogarty,Adelaide,0,0,0,0.004900962783722207,0
Darcy Fort,Geelong,0,0,0,0.026083523873239756,0
Darcy Lang,Carlton,0,0,0,-0.0019911169074475765,0
Darcy MacPherson,Gold Coast,0,0,0,0.14997247082646936,0
Darcy Parish,Essendon,0,0,5,1.485446660546586,0
Darren Minchington,Hawthorn,0,0,0,0.004471252701478079,0
David Astbury,Richmond,0,0,0,0.030671640881337225,0
David Mackay,Adelaide,0,0,0,0.1173421295825392,0
Dean Kent,St Kilda,0,0,0,0.06964320476981811,0
Deven Robertson,Brisbane Lions,0,0,0,-0.0014747470850124955,0
Devon Smith,Essendon,0,0,0,0.41999293555272743,0
Dougal Howard,St Kilda,0,0,8,0.13939834159100428,0
Dylan Clarke,Essendon,0,0,0,0.002745680190855637,0
Dylan Roberton,St Kilda,0,0,0,-0.0012221084907650948,0
Dylan Stephens,Sydney,0,0,0,-4.3881291639991105e-4,0
Dyson Heppell,Essendon,0,0,0,0.026802412001416087,0
Ed Phillips,St Kilda,0,0,0,0.0013427668018266559,0
Ed Richards,Western Bulldogs,0,0,0,-0.017469805054133758,0
Ed Vickers-Willis,North Melbourne,0,0,0,-7.261349819600582e-4,0
Elijah Taylor,Sydney,0,0,0,-0.004581468703690916,0
Elliott Himmelberg,Adelaide,0,0,2,0.22842689987737685,0
Esava Ratugolea,Geelong,0,0,1,0.23963844339596108,0
Ethan Hughes,Fremantle,0,0,0,0.028932033252203837,0
Finn Maginness,Hawthorn,0,0,0,-0.0014747470850124955,0
Fischer McAsey,Adelaide,0,0,0,-0.00869230111129582,0
Flynn Appleby,Collingwood,0,0,0,0.0032080579549074173,0
Flynn Perez,North Melbourne,0,0,0,-0.004423488164320588,0
George Hewett,Sydney,0,0,4,0.11567773146089166,0
Grant Birchall,Brisbane Lions,0,0,1,0.03259495840757154,0
Hamish Brayshaw,West Coast,0,0,0,0.0012842541327700019,0
Harley Bennell,Melbourne,0,0,0,0.005963195115327835,0
Harry Cunningham,Sydney,0,0,0,0.5959043817128986,0
Harry Edwards,West Coast,0,0,0,0.0018318765796720982,0
Harry Jones,Hawthorn,0,0,0,-0.0014747470850124955,0
Harry Morrison,Hawthorn,0,0,0,0.01116699114209041,0
Harry Schoenberg,Adelaide,0,0,4,0.0016384099144488573,0
Harry Taylor,Geelong,0,0,3,0.058494419790804386,0
Hayden Crozier,Western Bulldogs,0,0,8,0.10695976205170155,0
Hayden McLean,Sydney,0,0,0,0.00665172899607569,0
Hayden Young,Fremantle,0,0,0,0.012545921257697046,0
Heath Shaw,Greater Western Sydney,0,0,2,0.03287291992455721,0
Hunter Clark,St Kilda,0,0,9,0.5865970707818633,0
Irving Mosquito,Essendon,0,0,0,-0.0017238945583812892,0
Isaac Cumming,Greater Western Sydney,0,0,0,0.015197717468254268,0
Isaac Quaynor,Collingwood,0,0,0,0.008695846423506737,0
Ivan Soldo,Richmond,0,0,0,0.18994821538217366,0
Jack Bowes,Gold Coast,0,0,0,0.21235664805863053,0
Jack Buckley,Greater Western Sydney,0,0,0,0.002529696677811444,0
Jack Bytel,St Kilda,0,0,0,0.025864533497951925,0
Jack Darling,West Coast,0,0,7,0.7041913849534467,0
Jack Henry,Geelong,0,0,3,0.01809067651629448,0
Jack Lonie,St Kilda,0,0,0,0.04261965851765126,0
Jack Madgen,Collingwood,0,0,0,0.07865773673984222,0
Jack Mahony,North Melbourne,0,0,0,0.025695545598864555,0
Jack Payne,Brisbane Lions,0,0,0,0.004964145919075236,0
Jack Petruccelle,West Coast,0,0,0,0.002795281005091965,0
Jack Redden,West Coast,0,0,0,0.08187685598386452,0
Jack Ross,Richmond,0,0,0,0.017775264685042202,0
Jack Scrimshaw,Hawthorn,0,0,0,0.3247075917897746,0
Jack Silvagni,Carlton,0,0,0,1.1123577132821083e-4,0
Jack Sinclair,St Kilda,0,0,0,0.06979899341240525,0
Jack Steven,Geelong,0,0,0,0.24329615305759944,0
Jack Ziebell,North Melbourne,0,0,0,0.26068588605266996,0
Jackson Hately,Greater Western Sydney,0,0,0,0.012631754099857062,0
